emotion,valence,arousal,dominance
anger,0.245,0.7949999999999999,0.625
disgust,0.2,0.675,0.555
fear,0.19,0.9099999999999999,0.28500000000000003
joy,0.905,0.755,0.73
neutral,0.5,0.5,0.5
sadness,0.185,0.365,0.33499999999999996
surprise,0.7,0.835,0.435
